element;nb occurence;name of data element;name of the grouping item;name of registry;explanatory description;list of permitted values
6mo;115;R_AIH_Budesonide_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Budesonide;radio
6mo;115;R_AIH_Budesonide_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Budesonide dose;numeric
6mo;115;R_AIH_Budesonide_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_Azathioprine_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine;radio
6mo;115;R_AIH_Azathioprine_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine dose;numeric
6mo;115;R_AIH_Azathioprine_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_Azathioprine_metabolites_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine metabolites;radio
6mo;115;R_AIH_Six_TGN_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);6-TGN;numeric
6mo;115;R_AIH_TGN_pmolml_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);6-TGN (pmol/0.2ml);numeric
6mo;115;R_AIH_MMP_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMP;numeric
6mo;115;R_AIH_MMP_pmol_02ml_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMP (pmol/0.2ml);numeric
6mo;115;R_AIH_UDCA_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);UDCA;radio
6mo;115;R_AIH_No_standard_treatment_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Other immunosuppression;radio
6mo;115;R_AIH_Mercaptopurine_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Mercaptopurine (6-MP);radio
6mo;115;R_AIH_Mercaptopurine_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);6-MP dose;numeric
6mo;115;R_AIH_Mercaptopurine_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_MMF_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMF;radio
6mo;115;R_AIH_MMF_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMF dose;numeric
6mo;115;R_AIH_MMF_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_Tacrolimus_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Tacrolimus;radio
6mo;115;R_AIH_Tacrolimus_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_CyclosporinA_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Cyclosporin A;radio
6mo;115;R_AIH_CyclosporinA_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_Infliximab_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Infliximab;radio
6mo;115;R_AIH_Infliximab_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_Rituximab_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Rituximab;radio
6mo;115;R_AIH_Rituximab_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_Everolimus_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Everolimus;radio
6mo;115;R_AIH_Everolimus_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_Treatment_other_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Other;textarea
6mo;115;R_AIH_PSC_Treatment_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);PSC specific treatment;radio
6mo;115;R_AIH_PSC_Adalimumab_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Adalimumab;radio
